"Дата операции";"Дата платежа";"Номер карты";"Статус";"Сумма операции";"Валюта операции";"Сумма платежа";"Валюта платежа";"Кэшбэк";"Категория";"MCC";"Описание";"Бонусы (включая кэшбэк)";"Округление на инвесткопилку";"Сумма операции с округлением"
"09.05.2026 19:49:36";"09.05.2026";"*5315";"OK";"-129,00";"RUB";"-129,00";"RUB";"";"Супермаркеты";"5921";"Vobla Beer";"1,00";"0,00";"-129,00"
"09.05.2026 19:47:29";"09.05.2026";"*5315";"OK";"-787,94";"RUB";"-787,94";"RUB";"";"Супермаркеты";"5411";"Магнит";"7,00";"0,00";"-787,94"
"09.05.2026 18:03:18";"09.05.2026";"*5315";"OK";"-299,00";"RUB";"-299,00";"RUB";"";"Цифровые товары";"5816";"ONLIPAY";"0,00";"0,00";"-299,00"
"08.05.2026 19:29:57";"08.05.2026";"*5315";"OK";"-1732,98";"RUB";"-1732,98";"RUB";"";"Цифровые товары";"5816";"Playerok";"0,00";"0,00";"-1732,98"
"08.05.2026 14:18:43";"08.05.2026";"*5315";"OK";"-20,00";"RUB";"-20,00";"RUB";"";"Супермаркеты";"5499";"Водомат";"0,00";"0,00";"-20,00"
"08.05.2026 14:17:58";"08.05.2026";"*5315";"OK";"-20,00";"RUB";"-20,00";"RUB";"";"Супермаркеты";"5499";"Водомат";"0,00";"0,00";"-20,00"
"08.05.2026 11:41:48";"08.05.2026";"*5315";"OK";"-642,00";"RUB";"-642,00";"RUB";"";"Фастфуд";"5814";"Додо Пицца";"6,00";"0,00";"-642,00"
"08.05.2026 10:40:15";"08.05.2026";"*5315";"OK";"-46,00";"RUB";"-46,00";"RUB";"";"Местный транспорт";"4131";"Транспортная карта";"0,00";"0,00";"-46,00"
"08.05.2026 09:20:05";"08.05.2026";"*5315";"OK";"-500,00";"RUB";"-500,00";"RUB";"";"Медицина";"8011";"Statsionar Gkb 7";"5,00";"0,00";"-500,00"
"07.05.2026 14:55:06";"07.05.2026";"*5315";"OK";"-46,00";"RUB";"-46,00";"RUB";"";"Местный транспорт";"4131";"Транспортная карта";"0,00";"0,00";"-46,00"
"07.05.2026 14:07:10";"07.05.2026";"*5315";"OK";"-918,98";"RUB";"-918,98";"RUB";"";"Супермаркеты";"5499";"Красное и белое";"9,00";"0,00";"-918,98"
